"latitude","longitude","confidence"
-32.388,121.502,81
-32.408,121.408,100
-32.412,121.385,100
-32.417,121.362,100
-32.395,121.405,100
-32.4,121.381,100
-32.404,121.358,100
-32.392,121.354,100
-32.396,121.331,98
-32.355,121.467,100
-32.359,121.444,93
-32.379,121.35,93
-32.384,121.328,100
-32.342,121.463,82
-32.347,121.44,92
-32.371,121.324,98
-32.333,121.312,100
-32.338,121.289,80
-32.33,121.328,100
-32.335,121.305,100
-32.317,121.324,95
-32.322,121.301,100
-32.239,121.375,81
-32.226,121.371,100
-32.225,121.391,90
-32.23,121.367,100
-32.217,121.364,95
-32.087,121.654,94
-32.092,121.63,100
-32.074,121.65,94
-32.079,121.626,100
-32.086,121.672,87
-32.092,121.647,100
-32.097,121.623,100
-32.078,121.644,100
-32.083,121.619,100
-32.065,121.64,89
-32.07,121.615,100
-32.052,121.636,100
-32.057,121.612,100
-31.992,121.592,100
-31.997,121.568,100
-32.002,121.543,100
-32.007,121.519,100
-32.013,121.495,100
-31.998,121.589,100
-32.003,121.565,100
-32.008,121.54,100
-32.013,121.516,100
-32.018,121.492,88
-31.985,121.585,96
-31.99,121.561,100
-31.995,121.536,100
-32,121.512,100
-32.005,121.488,100
-32.029,121.371,65
-31.982,121.533,100
-31.987,121.508,100
-31.979,121.481,67
-31.984,121.457,71
-31.966,121.477,100
-31.971,121.453,100
-31.976,121.43,91
-31.953,121.473,100
-31.958,121.449,100
-31.963,121.426,100
-31.94,121.469,100
-31.945,121.446,100
-31.95,121.422,100
-31.955,121.399,100
-31.937,121.418,100
-31.942,121.395,100
-31.947,121.372,81
-31.952,121.491,97
-31.957,121.467,100
-31.962,121.443,100
-31.966,121.419,100
-31.939,121.487,72
-31.944,121.463,100
-31.949,121.439,100
-31.953,121.416,100
-31.958,121.392,85
-31.931,121.459,82
-31.936,121.435,98
-31.941,121.412,100
-31.945,121.388,100
-31.622,121.275,71
-30.877,123.591,100
-30.885,123.557,100
-30.892,123.523,94
-30.854,123.621,94
-30.861,123.587,100
-30.869,123.552,100
-30.877,123.518,100
-30.885,123.484,100
-30.846,123.582,100
-30.854,123.548,100
-30.862,123.513,100
-30.87,123.479,100
-30.878,123.445,83
-30.831,123.577,97
-30.839,123.543,100
-30.847,123.509,100
-30.855,123.475,100
-30.863,123.441,88
-30.816,123.572,100
-30.824,123.538,100
-30.832,123.504,100
-30.84,123.47,100
-30.848,123.436,92
-30.801,123.567,100
-30.809,123.533,100
-30.816,123.499,89
-30.824,123.465,100
-30.832,123.431,98
-31.632,119.731,96
-31.636,119.713,100
-31.64,119.694,73
-30.845,123.614,96
-30.853,123.579,100
-30.861,123.545,100
-30.868,123.51,100
-30.876,123.476,100
-30.838,123.574,100
-30.845,123.54,100
-30.853,123.506,100
-30.861,123.472,100
-30.868,123.438,81
-31.64,119.728,100
-31.643,119.709,100
-30.822,123.57,86
-30.83,123.535,100
-30.838,123.501,100
-30.846,123.466,100
-30.853,123.433,87
-31.628,119.725,100
-31.632,119.706,100
-30.807,123.565,100
-30.815,123.53,100
-30.823,123.496,100
-30.831,123.462,100
-30.838,123.428,90
-30.808,123.491,84
-30.815,123.457,100
-30.823,123.423,95
-30.8,123.453,98
-30.808,123.418,97
-30.746,123.619,66
-30.785,123.448,90
-30.793,123.414,96
-30.762,123.477,82
-30.77,123.443,92
-30.778,123.41,97
-30.789,123.442,89
-30.767,123.47,87
-30.774,123.437,94
-30.782,123.403,99
-30.767,123.398,66
-31.219,121.102,98
-31.224,121.078,99
-31.206,121.098,87
-31.211,121.075,93
-30.668,123.475,89
-30.676,123.441,72
-31.193,121.094,89
-31.198,121.071,100
-30.653,123.47,95
-31.198,121.09,100
-31.203,121.067,100
-30.674,123.473,76
-30.659,123.468,100
-30.976,117.888,100
-30.97,117.895,81
-30.972,117.88,100
-29.561,117.301,75
-28.203,121.224,80
-28.189,121.221,87
-21.174,119.224,100
-21.179,119.198,100
-21.174,119.219,100
-21.179,119.193,100
-21.459,115.003,78
-21.462,114.989,78
-37.591,149.378,85
-37.599,147.943,69
-37.545,147.909,100
-37.547,147.88,100
-37.533,147.881,65
-37.534,147.645,92
-37.536,147.614,100
-37.52,147.642,100
-37.522,147.613,100
-37.54,147.904,100
-37.542,147.875,100
-37.528,147.875,69
-37.53,147.639,100
-37.532,147.609,100
-37.5,147.871,100
-37.516,147.636,100
-37.518,147.608,100
-37.484,147.904,100
-37.486,147.87,100
-37.504,147.606,91
-37.506,147.578,86
-37.47,147.901,100
-37.472,147.869,100
-37.456,147.898,86
-37.35,148.514,98
-37.352,148.489,86
-37.336,148.515,87
-37.338,148.49,100
-37.404,147.538,91
-37.381,147.684,90
-37.376,147.679,88
-36.147,149.56,100
-36.136,149.54,100
-36.138,149.52,100
-36.119,149.599,100
-36.142,149.573,76
-36.144,149.556,100
-36.145,149.536,100
-36.135,149.514,100
-36.114,149.613,80
